class_num,semester,waitlist_pos
19-192-2639,2006,1755
38-547-8765,2005,060
47-550-9038,2010,491
74-553-6826,2005,96
47-258-5924,2009,0
58-182-3566,2009,31662
75-142-0300,1993,37
96-145-3374,2007,191
77-112-2534,2009,2836
80-465-3026,2003,10
80-728-2006,2009,19550
60-854-6042,1992,6
31-667-8794,2000,601
21-593-7399,2008,72
05-720-6117,2010,8585
81-947-1408,2002,49
31-427-1181,1999,844
77-151-2468,1991,23
59-591-1837,1992,54159
54-028-2413,2001,68
11-084-5109,1995,760
35-303-1300,2004,42
68-506-4334,2007,6316
12-686-8139,2003,26347
97-008-9170,1984,5
67-126-8538,2001,220
02-225-5224,2002,78
90-159-2116,1991,309
91-854-7491,2001,3275
56-370-8871,1997,4539
95-802-9070,1999,7188
70-419-4141,1996,6
65-090-1098,1995,7
40-979-3697,1993,4
79-769-1545,1994,9
08-998-8274,2005,30592
95-234-6418,2010,87
35-917-4347,2010,584
27-482-5982,2002,3
36-738-5762,2011,84159
21-954-5008,1988,876
77-619-2184,2006,20300
24-360-0555,2006,0
55-398-7017,1987,8161
96-521-1748,1992,0
74-864-6023,2005,7
86-529-3876,1993,4
